period,reporterDesc,flowDesc,partnerDesc,isOriginalClassification,cmdCode,cmdDesc,qty,isAltQtyEstimated,netWgt,isNetWgtEstimated,cifvalue,fobvalue,primaryValue
2013,Viet Nam,Import,Austria,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,,FALSE,125128,,125128
2013,Viet Nam,Import,Belgium,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,11999,TRUE,1551892,,1551892
2013,Viet Nam,Import,Brazil,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,48,TRUE,2558,,2558
2013,Viet Nam,Import,Canada,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,,FALSE,1825579,,1825579
2013,Viet Nam,Import,China,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,,FALSE,160825749,,160825749
2013,Viet Nam,Import,Czechia,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,1531,TRUE,98157,,98157
2013,Viet Nam,Import,Denmark,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,918,TRUE,37316,,37316
2013,Viet Nam,Import,Finland,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,210,TRUE,8746,,8746
2013,Viet Nam,Import,France,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,,FALSE,508913,,508913
2013,Viet Nam,Import,Germany,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,,FALSE,995236,,995236
2013,Viet Nam,Import,"China, Hong Kong SAR",TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,12259,TRUE,891956,,891956
2013,Viet Nam,Import,Hungary,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,2625,TRUE,82716,,82716
2013,Viet Nam,Import,Indonesia,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",,FALSE,2584285,TRUE,78160165,,78160165
